SNR(dB) Errors Practical_BER
0.0000000000e+00 3472540 3.4725400000e-01 
1.0000000000e+00 3349765 3.3497650000e-01 
2.0000000000e+00 3220345 3.2203450000e-01 
3.0000000000e+00 3082021 3.0820210000e-01 
4.0000000000e+00 2930689 2.9306890000e-01 
5.0000000000e+00 2760323 2.7603230000e-01 
6.0000000000e+00 2569187 2.5691870000e-01 
7.0000000000e+00 2352702 2.3527020000e-01 
8.0000000000e+00 2113150 2.1131500000e-01 
9.0000000000e+00 1854927 1.8549270000e-01 
1.0000000000e+01 1583215 1.5832150000e-01 
1.1000000000e+01 1308448 1.3084480000e-01 
1.2000000000e+01 1040587 1.0405870000e-01 
1.3000000000e+01 788042 7.8804200000e-02 
1.4000000000e+01 564599 5.6459900000e-02 
1.5000000000e+01 376763 3.7676300000e-02 
1.6000000000e+01 229720 2.2972000000e-02 
